"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00016","","","","39","33","5","8","6","25","20","10","14","7.5","2","21","4","3","5","5","3","3","3","7.23","9.5","30.5","24","0.75","0.142857143","0.395833333","0.96","0.615384615","0.4","0.256410256","0.38","0.243589744","0.84","0.538461538","41.66666667","31.14754098","64.1025641","7.122507123","11.11111111","9.021842355","14.07407407","19.94301994","31.11111111","28.9648623","45.18518519"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00017","","","","39","32","5","5","6","24","15","9","10","2","1","20","3","3","5","5","3","4","5","7.76","3","23","19","0.222222222","0.1","0.157894737","0.791666667","0.487179487","0.375","0.230769231","0.125","0.076923077","0.833333333","0.512820513","47.36842105","13.04347826","61.53846154","1.899335233","3.086419753","2.849002849","4.62962963","18.99335233","30.86419753","21.84235518","35.49382716"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00018","","","","39","34","8","9","5","34","7","3","5","0.3","0.2","15.5","2","2","5","5","3","4","5","11.03","0.5","16","8","0.1","0.04","0.0625","0.235294118","0.205128205","0.088235294","0.076923077","0.014705882","0.012820513","0.455882353","0.397435897","37.5","3.125","87.17948718","0.284900285","0.326797386","0.474833808","0.544662309","14.71984805","16.88453159","15.19468186","17.4291939"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00019","","","","39","30","8","9","8","9","0","0","0","0","0","2","","","","","","","","","0","2","0","","","","0","0","0","0","0","0","0.222222222","0.051282051","","0","23.07692308","0","0","0","0","1.899335233","8.230452675","1.899335233","8.230452675"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00020","","","","39","30","9","9","6","30","0","0","0","0","0","2","","","","","","","","","0","2","0","","","","0","0","0","0","0","0","0.066666667","0.051282051","","0","76.92307692","0","0","0","0","1.899335233","2.469135802","1.899335233","2.469135802"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00021","","","","39","23","9","9","4","23","0","0","0","0","0","1.5","","","","","","","","","0","1.5","0","","","","0","0","0","0","0","0","0.065217391","0.038461538","","0","58.97435897","0","0","0","0","1.424501425","2.415458937","1.424501425","2.415458937"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00022","","","","39","32","9","9","4","32","0","0","0","0","0","19","","","","","","","","","0","19","0","","","","0","0","0","0","0","0","0.59375","0.487179487","","0","82.05128205","0","0","0","0","18.04368471","21.99074074","18.04368471","21.99074074"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00023","","","","39","33","8","9","4","32","8","0","10","0","1","10.1","1","1","3","5","3","3","2","11.03","1","11.1","10","","0.1","0.1","0.3125","0.256410256","0","0","0.03125","0.025641026","0.315625","0.258974359","0","9.009009009","82.05128205","0","0","0.949667616","1.157407407","9.591642925","11.68981481","10.54131054","12.84722222"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00024","","","","39","35","7","7","7","35","5","3","3","0.3","0.1","15","2","3","4","5","3","3","3","7.23","0.4","15.4","6","0.1","0.033333333","0.066666667","0.171428571","0.153846154","0.085714286","0.076923077","0.011428571","0.01025641","0.428571429","0.384615385","50","2.597402597","89.74358974","0.284900285","0.317460317","0.379867047","0.423280423","14.24501425","15.87301587","14.62488129","16.2962963"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00025","","","","39","33","4","5","5","32","19","3","18","0.4","1.5","24.7","3","3","3","5","3","5","5","0.03","1.9","26.6","21","0.133333333","0.083333333","0.09047619","0.65625","0.538461538","0.09375","0.076923077","0.059375","0.048717949","0.771875","0.633333333","14.28571429","7.142857143","82.05128205","0.379867047","0.462962963","1.804368471","2.199074074","23.45679012","28.58796296","25.26115859","30.78703704"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00026","","","","39","25","9","9","4","25","0","0","0","0","0","3.3","","","","","","","","","0","3.3","0","","","","0","0","0","0","0","0","0.132","0.084615385","","0","64.1025641","0","0","0","0","3.133903134","4.888888889","3.133903134","4.888888889"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00027","","","","39","18","6","9","6","5","7","5","3","2","0.2","10.2","3","3","5","5","3","4","5","6.12","2.2","12.4","8","0.4","0.066666667","0.275","1.6","0.205128205","1","0.128205128","0.44","0.056410256","2.04","0.261538462","62.5","17.74193548","12.82051282","1.899335233","14.81481481","2.089268756","16.2962963","9.686609687","75.55555556","11.77587844","91.85185185"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00028","","","","39","29","4","7","6","29","29","16","20","3","1","12.5","4","4","3","4","3","4","5","7.76","4","16.5","36","0.1875","0.05","0.111111111","1.24137931","0.923076923","0.551724138","0.41025641","0.137931034","0.102564103","0.431034483","0.320512821","44.44444444","24.24242424","74.35897436","2.849002849","3.831417625","3.798670465","5.108556833","11.8708452","15.9642401","15.66951567","21.07279693"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00029","","","","39","18","6","6","6","18","6","4","2","0.4","0.1","3","2","1","5","4","3","4","5","7.76","0.5","3.5","6","0.1","0.05","0.083333333","0.333333333","0.153846154","0.222222222","0.102564103","0.027777778","0.012820513","0.166666667","0.076923077","66.66666667","14.28571429","46.15384615","0.379867047","0.823045267","0.474833808","1.028806584","2.849002849","6.172839506","3.323836657","7.201646091"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00030","","","","39","27","6","9","4","14","7","3","5","0.6","0.4","5","3","3","4","5","3","3","5","11.03","1","6","8","0.2","0.08","0.125","0.571428571","0.205128205","0.214285714","0.076923077","0.071428571","0.025641026","0.357142857","0.128205128","37.5","16.66666667","35.8974359","0.56980057","1.587301587","0.949667616","2.645502646","4.748338082","13.22751323","5.698005698","15.87301587"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00031","","","","39","34","5","9","4","28","20","8","19","2.2","2.1","18","3","3","5","4","3","4","5","11.03","4.3","22.3","27","0.275","0.110526316","0.159259259","0.964285714","0.692307692","0.285714286","0.205128205","0.153571429","0.11025641","0.642857143","0.461538462","29.62962963","19.28251121","71.79487179","2.089268756","2.91005291","4.08357075","5.687830688","17.09401709","23.80952381","21.17758784","29.4973545"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00032","","","","39","26","9","9","4","26","0","0","0","0","0","3","","","","","","","","","0","3","0","","","","0","0","0","0","0","0","0.115384615","0.076923077","","0","66.66666667","0","0","0","0","2.849002849","4.273504274","2.849002849","4.273504274"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00033","","","","39","32","2","6","7","32","32","20","19","2.5","1","35","3","3","5","4","3","3","4","11.03","3.5","38.5","39","0.125","0.052631579","0.08974359","1.21875","1","0.625","0.512820513","0.109375","0.08974359","1.09375","0.897435897","51.28205128","9.090909091","82.05128205","2.374169041","2.893518519","3.323836657","4.050925926","33.23836657","40.50925926","36.56220323","44.56018519"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00034","","","","39","27","7","9","4","27","7","0","8","0","0.7","10","1","1","3","2","3","4","5","11.03","0.7","10.7","8","","0.0875","0.0875","0.296296296","0.205128205","0","0","0.025925926","0.017948718","0.37037037","0.256410256","0","6.542056075","69.23076923","0","0","0.664767331","0.960219479","9.496676163","13.71742112","10.16144349","14.6776406"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00035","","","","39","35","7","9","8","25","11","5","12","1.5","1.1","12","3","3","3","3","3","4","5","7.76","2.6","14.6","17","0.3","0.091666667","0.152941176","0.68","0.435897436","0.2","0.128205128","0.104","0.066666667","0.48","0.307692308","29.41176471","17.80821918","64.1025641","1.424501425","2.222222222","2.469135802","3.851851852","11.3960114","17.77777778","13.8651472","21.62962963"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00036","","","","39","29","6","9","7","10","4","0","4","0","0.5","3","1","1","4","5","3","3","5","7.76","0.5","3.5","4","","0.125","0.125","0.4","0.102564103","0","0","0.05","0.012820513","0.3","0.076923077","0","14.28571429","25.64102564","0","0","0.474833808","1.851851852","2.849002849","11.11111111","3.323836657","12.96296296"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00037","","","","39","36","5","8","5","25","3","0","4","0","0.4","37","1","1","5","4","3","5","5","0.03","0.4","37.4","4","","0.1","0.1","0.16","0.102564103","0","0","0.016","0.01025641","1.48","0.948717949","0","1.069518717","64.1025641","0","0","0.379867047","0.592592593","35.1377018","54.81481481","35.51756885","55.40740741"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00038","","","","39","31","7","9","4","17","4","0","8","0","1","3.3","1","2","4","5","4","4","5","5.49","1","4.3","8","","0.125","0.125","0.470588235","0.205128205","0","0","0.058823529","0.025641026","0.194117647","0.084615385","0","23.25581395","43.58974359","0","0","0.949667616","2.178649237","3.133903134","7.189542484","4.08357075","9.368191721"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00039","","","","39","22","8","9","4","16","3","0","4","0","0.6","2.5","2","2","1","5","3","4","5","1.38","0.6","3.1","4","","0.15","0.15","0.25","0.102564103","0","0","0.0375","0.015384615","0.15625","0.064102564","0","19.35483871","41.02564103","0","0","0.56980057","1.388888889","2.374169041","5.787037037","2.943969611","7.175925926"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00040","","","","39","34","9","9","4","34","2","0","3","0","0.1","9.7","1","1","1","5","3","4","5","11.03","0.1","9.8","3","","0.033333333","0.033333333","0.088235294","0.076923077","0","0","0.002941176","0.002564103","0.285294118","0.248717949","0","1.020408163","87.17948718","0","0","0.094966762","0.108932462","9.211775878","10.5664488","9.30674264","10.67538126"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00041","","","","39","24","4","5","5","22","20","1","21","0.7","4.1","16","3","3","1","3","3","4","5","11.03","4.8","20.8","22","0.7","0.195238095","0.218181818","1","0.564102564","0.045454545","0.025641026","0.218181818","0.123076923","0.727272727","0.41025641","4.545454545","23.07692308","56.41025641","0.664767331","1.178451178","4.558404558","8.080808081","15.19468186","26.93602694","19.75308642","35.01683502"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00042","","","","39","25","4","4","7","7","6","0","7","0","1.8","8.9","4","4","1","5","3","4","5","11.03","1.8","10.7","7","","0.257142857","0.257142857","1","0.179487179","0","0","0.257142857","0.046153846","1.271428571","0.228205128","0","16.82242991","17.94871795","0","0","1.709401709","9.523809524","8.452041785","47.08994709","10.16144349","56.61375661"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00043","","","","39","34","7","9","4","16","0","0","0","0","0","3","","","","","","","","","0","3","0","","","","0","0","0","0","0","0","0.1875","0.076923077","","0","41.02564103","0","0","0","0","2.849002849","6.944444444","2.849002849","6.944444444"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00044","","","","39","26","2","3","5","18","15","3","15","0.8","3","18","3","3","5","5","3","4","5","5.49","3.8","21.8","18","0.266666667","0.2","0.211111111","1","0.461538462","0.166666667","0.076923077","0.211111111","0.097435897","1","0.461538462","16.66666667","17.43119266","46.15384615","0.759734093","1.646090535","3.608736942","7.818930041","17.09401709","37.03703704","20.70275404","44.85596708"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00045","","","","39","26","4","4","4","26","26","11","41","5.5","10.2","13","5","5","5","5","3","4","5","6.12","15.7","28.7","52","0.5","0.248780488","0.301923077","2","1.333333333","0.423076923","0.282051282","0.603846154","0.402564103","0.5","0.333333333","21.15384615","54.70383275","66.66666667","5.22317189","7.834757835","14.90978158","22.36467236","12.34567901","18.51851852","27.25546059","40.88319088"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00046","","","","39","33","8","9","6","33","8","3","6","1","6","10.5","3","3","5","5","3","4","5","11.03","7","17.5","9","0.333333333","1","0.777777778","0.272727273","0.230769231","0.090909091","0.076923077","0.212121212","0.179487179","0.318181818","0.269230769","33.33333333","40","84.61538462","0.949667616","1.122334456","6.647673314","7.85634119","9.971509972","11.78451178","16.61918329","19.64085297"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00047","","","","39","23","8","9","5","13","0","0","0","0","0","2","","","","","","","","","0","2","0","","","","0","0","0","0","0","0","0.153846154","0.051282051","","0","33.33333333","0","0","0","0","1.899335233","5.698005698","1.899335233","5.698005698"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00048","","","","39","35","8","9","4","30","5","0","7","0","0.3","22","1","1","5","2","3","4","5","11.03","0.3","22.3","7","","0.042857143","0.042857143","0.233333333","0.179487179","0","0","0.01","0.007692308","0.733333333","0.564102564","0","1.34529148","76.92307692","0","0","0.284900285","0.37037037","20.89268756","27.16049383","21.17758784","27.5308642"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00049","","","","39","24","9","9","5","19","0","0","0","0","0","9","","","","","","","","","0","9","0","","","","0","0","0","0","0","0","0.473684211","0.230769231","","0","48.71794872","0","0","0","0","8.547008547","17.54385965","8.547008547","17.54385965"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00050","","","","39","37","8","9","4","36","17","4","18","0.9","3","12.5","3","3","2","4","3","5","5","0.12","3.9","16.4","22","0.225","0.166666667","0.177272727","0.611111111","0.564102564","0.111111111","0.102564103","0.108333333","0.1","0.347222222","0.320512821","18.18181818","23.7804878","92.30769231","0.854700855","0.925925926","3.703703704","4.012345679","11.8708452","12.8600823","15.57454891","16.87242798"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00051","","","","39","34","3","3","8","22","13","11","5","3.5","1.1","33.5","4","5","3","5","3","3","3","7.76","4.6","38.1","16","0.318181818","0.22","0.2875","0.727272727","0.41025641","0.5","0.282051282","0.209090909","0.117948718","1.522727273","0.858974359","68.75","12.07349081","56.41025641","3.323836657","5.892255892","4.368471035","7.744107744","31.81386515","56.3973064","36.18233618","64.14141414"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00052","","","","39","35","6","6","7","31","20","6","19","1","1.5","25","3","3","5","5","3","4","5","10.5","2.5","27.5","25","0.166666667","0.078947368","0.1","0.806451613","0.641025641","0.193548387","0.153846154","0.080645161","0.064102564","0.806451613","0.641025641","24","9.090909091","79.48717949","0.949667616","1.19474313","2.374169041","2.986857826","23.74169041","29.86857826","26.11585945","32.85543608"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00053","","","","39","25","9","9","5","8","0","0","0","0","0","1.5","","","","","","","","","0","1.5","0","","","","0","0","0","0","0","0","0.1875","0.038461538","","0","20.51282051","0","0","0","0","1.424501425","6.944444444","1.424501425","6.944444444"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00054","","","","39","34","7","7","9","34","13","6","8","2.5","1","24","4","4","5","3","3","4","5","10.5","3.5","27.5","14","0.416666667","0.125","0.25","0.411764706","0.358974359","0.176470588","0.153846154","0.102941176","0.08974359","0.705882353","0.615384615","42.85714286","12.72727273","87.17948718","2.374169041","2.723311547","3.323836657","3.812636166","22.79202279","26.14379085","26.11585945","29.95642702"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00055","","","","39","33","9","9","5","33","9","0","10","0","1","28","2","2","5","4","3","4","5","10.5","1","29","10","","0.1","0.1","0.303030303","0.256410256","0","0","0.03030303","0.025641026","0.848484848","0.717948718","0","3.448275862","84.61538462","0","0","0.949667616","1.122334456","26.59069326","31.42536476","27.54036087","32.54769921"
"","","MZP2010GUR-AT09","","","","","","","","","MZP2010GUR-AT09-00056","","","","39","28","9","9","4","5","0","0","0","0","0","1.5","","","","","","","","","0","1.5","0","","","","0","0","0","0","0","0","0.3","0.038461538","","0","12.82051282","0","0","0","0","1.424501425","11.11111111","1.424501425","11.11111111"
