"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|CO_331:0000198","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00011","","","","26","15","2","3","5","1","1","13","12","20","36","4.8","2","3.2","3","1","1","50.7","12.4","3","5","5","5","2.04","1.34","0.7","47.09","70.21","","55.96","10","13.62","3.79","0.11","6.8","10","56","0.24","0.055555556","0.121428571","4.307692308","2.153846154","1.538461538","0.769230769","0.523076923","0.261538462","0.246153846","0.123076923","35.71428571","68","50","24.45759369","1.663116371","6.837606838","13.67521368","9.686609687","19.37321937","4.558404558","9.116809117","2.369111639","4.738223279","14.24501425","28.49002849"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00012","","","","26","8","8","9","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00013","","","","26","21","1","4","6","1","1","18","18","23","85","3","5","2","3","3","3","50.3","16.3","1","6","6","5","2.63","0.91","0.66","23.07","59.77","","68.13","3.76","5.22","4.71","0.25","8","10","108","0.130434783","0.058823529","0.074074074","6","4.153846154","1.277777778","0.884615385","0.444444444","0.307692308","0.111111111","0.076923077","21.2962963","80","69.23076923","32.4055666","2.592445328","4.273504274","6.172839506","11.3960114","16.46090535","2.849002849","4.115226337","3.692942063","5.334249646","14.24501425","20.57613169"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00014","","","","26","23","4","6","5","1","1","14","13","11","39","1.2","2","2","7","3","3","","","3","5","7","5","","","","","","","","","","","","3.2","5.2","50","0.109090909","0.051282051","0.064","3.571428571","1.923076923","0.785714286","0.423076923","0.228571429","0.123076923","0.142857143","0.076923077","22","61.53846154","53.84615385","","","1.709401709","3.174603175","4.558404558","8.465608466","2.849002849","5.291005291","","","7.407407407","13.75661376"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00015","","","","26","19","3","4","7","1","1","12","12","35","65","6","3","2","5","3","3","50.6","13","1","5","5","3","2.91","1.6","1.01","41.66","80.37","26.55","61.75","4.33","6.08","7.33","0.29","9","11","100","0.171428571","0.046153846","0.09","8.333333333","3.846153846","2.916666667","1.346153846","0.75","0.346153846","0.166666667","0.076923077","35","81.81818182","46.15384615","25.6916996","2.312252964","8.547008547","18.51851852","12.82051282","27.77777778","2.849002849","6.172839506","3.293807642","7.136583224","15.66951567","33.95061728"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00016","","","","26","18","5","6","6","1","1","11","11","18","17","2.2","1","4","3","3","1","50.9","13.5","3","9","9","1","3.47","1.67","0.96","75.4","83.82","25.89","60.35","7.04","9.66","2.27","0.65","3.2","7.2","35","0.122222222","0.058823529","0.091428571","3.181818182","1.346153846","1.636363636","0.692307692","0.290909091","0.123076923","0.363636364","0.153846154","51.42857143","44.44444444","42.30769231","26.52259332","0.848722986","3.133903134","7.407407407","4.558404558","10.77441077","5.698005698","13.46801347","1.209007103","2.857653152","10.25641026","24.24242424"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00017","","","","26","13","1","2","4","1","1","7","5","4","6","0.6","0.1","","9","5","1","42.8","13.7","1","7","9","3","2.87","1.42","0.96","79.05","68.29","20.63","68.91","4.23","6.34","0.27","0.2","0.7","","10","0.15","0.016666667","0.07","1.428571429","0.384615385","0.571428571","0.153846154","0.1","0.026923077","","","40","","26.92307692","32.00934579","0.224065421","0.854700855","3.174603175","0.997150997","3.703703704","","","0.319181511","1.185531326","",""
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00018","","","","26","26","1","1","6","1","1","14","14","27","87","2","2.6","5","9","5","1","50.5","13.3","1","9","7","1","3.06","1.46","0.83","20.31","59.52","33.98","62.09","4.77","6.33","6.71","0.37","4.6","9.6","114","0.074074074","0.029885057","0.040350877","8.142857143","4.384615385","1.928571429","1.038461538","0.328571429","0.176923077","0.357142857","0.192307692","23.68421053","47.91666667","53.84615385","26.33663366","1.211485149","2.849002849","5.291005291","6.552706553","12.16931217","7.122507123","13.22751323","1.72576232","3.204987165","13.67521368","25.3968254"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00019","","","","26","16","6","7","5","1","1","9","9","10","9","2","0.2","1","5","5","1","","","3","3","5","5","","","","","","","","","","","","2.2","3.2","19","0.2","0.022222222","0.115789474","2.111111111","0.730769231","1.111111111","0.384615385","0.244444444","0.084615385","0.111111111","0.038461538","52.63157895","68.75","34.61538462","","","2.849002849","8.230452675","3.133903134","9.053497942","1.424501425","4.115226337","","","4.558404558","13.16872428"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00020","","","","26","14","1","3","5","1","1","6","6","11","19","2.4","1.6","0.5","5","5","1","50.6","15.3","1","7","9","3","3.17","1.29","0.78","59.68","65.95","18.86","64.2","5.12","6.7","5.12","0.48","4","4.5","30","0.218181818","0.084210526","0.133333333","5","1.153846154","1.833333333","0.423076923","0.666666667","0.153846154","0.083333333","0.019230769","36.66666667","88.88888889","23.07692308","30.23715415","1.209486166","3.418803419","14.81481481","5.698005698","24.69135802","0.712250712","3.086419753","1.722914766","7.465963988","6.41025641","27.77777778"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00021","","","","26","14","7","7","4","1","1","7","6","5","2","1.5","0.1","1","3","3","1","50.7","12.5","1","7","5","5","3.2","1.76","1.02","","57.2","35.79","58.73","5.68","7.73","6.57","0.61","1.6","2.6","7","0.3","0.05","0.228571429","1","0.269230769","0.714285714","0.192307692","0.228571429","0.061538462","0.142857143","0.038461538","71.42857143","61.53846154","26.92307692","24.65483235","0.394477318","2.136752137","7.936507937","2.279202279","8.465608466","1.424501425","5.291005291","0.561933501","2.087181574","3.703703704","13.75661376"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00022","","","","26","20","1","8","7","1","1","16","7","4","23","0.2","1","6","7","5","1","50.8","13","3","5","7","5","2.16","1.27","0.66","24.67","60.71","15.9","61.1","6.12","7.95","5.9","0.49","1.2","7.2","27","0.05","0.043478261","0.044444444","1.6875","1.038461538","0.25","0.153846154","0.075","0.046153846","0.375","0.230769231","14.81481481","16.66666667","61.53846154","25.59055118","0.307086614","0.284900285","0.462962963","1.709401709","2.777777778","8.547008547","13.88888889","0.437445319","0.710848644","10.25641026","16.66666667"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00023","","","","26","24","6","7","7","1","1","9","7","19","24","3.4","2","2","5","5","1","","","1","5","5","5","","","","","","","","","","","","5.4","7.4","43","0.178947368","0.083333333","0.125581395","4.777777778","1.653846154","2.111111111","0.730769231","0.6","0.207692308","0.222222222","0.076923077","44.18604651","72.97297297","34.61538462","","","4.843304843","13.99176955","7.692307692","22.22222222","2.849002849","8.230452675","","","10.54131054","30.4526749"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00024","","","","26","16","2","8","4","1","1","8","4","5","0","1","0","0.6","5","5","1","50.9","12.9","1","9","7","1","3.21","1.6","0.92","46.18","79.42","18.1","58.9","7.48","10.15","1.29","0.36","1","1.6","5","0.2","","0.2","0.625","0.192307692","0.625","0.192307692","0.125","0.038461538","0.075","0.023076923","100","62.5","30.76923077","25.34381139","0.253438114","1.424501425","4.62962963","1.424501425","4.62962963","0.854700855","2.777777778","0.361022954","1.173324602","2.279202279","7.407407407"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00025","","","","26","18","4","4","5","1","1","8","8","8","26","1.2","1.2","4","9","5","1","50","12.7","1","5","7","3","3.06","1.61","0.83","101.12","98.24","14.48","55.59","9.39","12.89","0.71","0.54","2.4","6.4","34","0.15","0.046153846","0.070588235","4.25","1.307692308","1","0.307692308","0.3","0.092307692","0.5","0.153846154","23.52941176","37.5","30.76923077","25.4","0.6096","1.709401709","5.555555556","3.418803419","11.11111111","5.698005698","18.51851852","0.868376068","2.822222222","9.116809117","29.62962963"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00026","","","","26","11","3","7","4","1","1","7","7","4","9","0.6","0.2","1","7","3","1","50.7","12.4","1","5","7","5","2.82","1.66","0.77","46.96","72.88","36.67","51.82","11.07","14.81","1.07","0.93","0.8","1.8","13","0.15","0.022222222","0.061538462","1.857142857","0.5","0.571428571","0.153846154","0.114285714","0.030769231","0.142857143","0.038461538","30.76923077","44.44444444","26.92307692","24.45759369","0.19566075","0.854700855","3.174603175","1.13960114","4.232804233","1.424501425","5.291005291","0.278719016","1.035242061","2.564102564","9.523809524"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00027","","","","26","19","2","3","5","1","1","10","10","26","28","4","1.6","1.5","5","5","3","","","1","5","5","5","","","","","","","","","","","","5.6","7.1","54","0.153846154","0.057142857","0.103703704","5.4","2.076923077","2.6","1","0.56","0.215384615","0.15","0.057692308","48.14814815","78.87323944","38.46153846","","","5.698005698","14.81481481","7.977207977","20.74074074","2.136752137","5.555555556","","","10.11396011","26.2962963"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00028","","","","26","19","1","2","5","1","1","14","14","27","31","6","2","5.2","1","3","1","50.8","14","3","5","5","5","2.86","1.53","0.81","167.19","103.63","17.64","58.63","10","13.44","0","0.26","8","13.2","58","0.222222222","0.064516129","0.137931034","4.142857143","2.230769231","1.928571429","1.038461538","0.571428571","0.307692308","0.371428571","0.2","46.55172414","60.60606061","53.84615385","27.55905512","2.204724409","8.547008547","15.87301587","11.3960114","21.16402116","7.407407407","13.75661376","3.140633062","5.832604258","18.8034188","34.92063492"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00029","","","","26","10","5","7","2","1","1","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.53846154","","","","","","","","","","","",""
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00030","","","","26","24","2","7","6","1","1","15","5","0","6","0","0.2","12.5","9","5","1","51","13.1","1","5","5","3","5.41","2.06","1.21","54.07","94.81","27.87","56.21","3.04","4.35","14.8","0.42","0.2","12.7","6","","0.033333333","0.033333333","0.4","0.230769231","0","0","0.013333333","0.007692308","0.833333333","0.480769231","0","1.57480315","57.69230769","25.68627451","0.051372549","0","0","0.284900285","0.49382716","17.80626781","30.86419753","0.073180269","0.1268458","18.09116809","31.35802469"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00031","","","","26","17","1","1","9","1","1","12","12","27","8","7","0.2","15","3","3","1","50.3","14.8","1","7","9","3","2.6","1.56","0.91","128.69","101.66","0.52","63.95","7.37","10.33","","0.26","7.2","22.2","35","0.259259259","0.025","0.205714286","2.916666667","1.346153846","2.25","1.038461538","0.6","0.276923077","1.25","0.576923077","77.14285714","32.43243243","46.15384615","29.42345924","2.118489066","9.971509972","21.60493827","10.25641026","22.22222222","21.36752137","46.2962963","3.017790692","6.538546499","31.62393162","68.51851852"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00032","","","","26","15","2","2","6","1","1","12","10","24","37","4.2","2","7","3","3","1","50.5","12.3","1","3","5","3","1.97","1.16","0.81","78.96","90.55","9.79","62.14","5.81","7.8","7.13","0.19","6.2","13.2","61","0.175","0.054054054","0.101639344","5.083333333","2.346153846","2","0.923076923","0.516666667","0.238461538","0.583333333","0.269230769","39.3442623","46.96969697","46.15384615","24.35643564","1.51009901","5.982905983","12.96296296","8.831908832","19.13580247","9.971509972","21.60493827","2.151138191","4.660799413","18.8034188","40.74074074"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00033","","","","26","3","9","9","2","1","1","3","2","","","","","","7","5","1","50.8","13.7","","","","","2.73","1.59","0.88","60.93","84.77","23.77","59.18","7.65","10.61","2.3","0.62","","","","","","","","","","","","","","","","","11.53846154","26.96850394","","","","","","","","","","",""
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00034","","","","26","5","1","3","4","1","1","2","2","","","","","","3","3","1","50.1","16.6","","","","","3.1","1.18","0.82","31.16","58.99","","70.8","3.18","4.74","1.93","0.07","","","","","","","","","","","","","","","","","7.692307692","33.13373253","","","","","","","","","","",""
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00035","","","","26","22","1","1","6","1","1","11","11","20","17","4","0.5","12","1","3","1","","","3","5","5","3","","","","","","","","","","","","4.5","16.5","37","0.2","0.029411765","0.121621622","3.363636364","1.423076923","1.818181818","0.769230769","0.409090909","0.173076923","1.090909091","0.461538462","54.05405405","27.27272727","42.30769231","","","5.698005698","13.46801347","6.41025641","15.15151515","17.09401709","40.4040404","","","23.5042735","55.55555556"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00036","","","","26","23","2","2","7","1","1","16","16","45","75","4.2","2","11","5","5","1","44","14","1","9","7","1","3.27","1.59","0.9","94.34","81.79","35.21","59.85","5.66","7.55","6.61","1.15","6.2","17.2","120","0.093333333","0.026666667","0.051666667","7.5","4.615384615","2.8125","1.730769231","0.3875","0.238461538","0.6875","0.423076923","37.5","36.04651163","61.53846154","31.81818182","1.972727273","5.982905983","9.722222222","8.831908832","14.35185185","15.66951567","25.46296296","2.81015281","4.566498316","24.5014245","39.81481481"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00037","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00038","","","","26","18","1","7","7","1","1","9","9","20","45","3","2","9","5","5","1","","","1","5","7","3","","","","","","","","","","","","5","14","65","0.15","0.044444444","0.076923077","7.222222222","2.5","2.222222222","0.769230769","0.555555556","0.192307692","1","0.346153846","30.76923077","35.71428571","34.61538462","","","4.273504274","12.34567901","7.122507123","20.57613169","12.82051282","37.03703704","","","19.94301994","57.61316872"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00039","","","","26","23","5","9","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00040","","","","26","21","1","3","6","1","1","9","9","9","26","1.6","1.6","7","5","5","1","50.1","11","1","7","3","3","4.13","1.89","1.29","79.8","96.93","36.54","56.81","4.45","6.4","9.75","0.56","3.2","10.2","35","0.177777778","0.061538462","0.091428571","3.888888889","1.346153846","1","0.346153846","0.355555556","0.123076923","0.777777778","0.269230769","25.71428571","31.37254902","34.61538462","21.95608782","0.70259481","2.279202279","6.58436214","4.558404558","13.16872428","9.971509972","28.80658436","1.000847308","2.891336668","14.52991453","41.97530864"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00041","","","","26","19","1","4","6","1","1","18","18","93","25","9","1","4","3","3","1","49.6","12.9","3","5","9","3","3.72","1.87","1.15","244.16","144.08","36.5","54.77","5.66","8.12","9.15","1.07","10","14","118","0.096774194","0.04","0.084745763","6.555555556","4.538461538","5.166666667","3.576923077","0.555555556","0.384615385","0.222222222","0.153846154","78.81355932","71.42857143","69.23076923","26.00806452","2.600806452","12.82051282","18.51851852","14.24501425","20.57613169","5.698005698","8.230452675","3.704852495","5.351453604","19.94301994","28.80658436"
