"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00001","","","","39","39","1","1","9","18","26","21","31","34","5","2.5","3","3","5","7.76","","7.5","25.5","65","0.161290323","0.073529412","0.115384615","2.5","1.666666667","1.192307692","0.794871795","0.288461538","0.192307692","0.692307692","0.461538462","47.69230769","29.41176471","66.66666667","4.748338082","7.122507123","7.122507123","10.68376068","17.09401709","25.64102564","24.21652422","36.32478632"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00002","","","","39","39","1","1","9","21","27","23","45","42","9","2","4","4","5","10.5","4","11","32","87","0.2","0.047619048","0.126436782","3.222222222","2.230769231","1.666666667","1.153846154","0.407407407","0.282051282","0.777777778","0.538461538","51.72413793","34.375","69.23076923","8.547008547","12.34567901","10.44634378","15.08916324","19.94301994","28.80658436","30.38936372","43.8957476"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00003","","","","39","39","1","1","9","21","31","24","64","65","5.5","4","4","3","5","5.49","","9.5","30.5","129","0.0859375","0.061538462","0.073643411","4.161290323","3.307692308","2.064516129","1.641025641","0.306451613","0.243589744","0.677419355","0.538461538","49.6124031","31.14754098","79.48717949","5.22317189","6.571087216","9.021842355","11.35005974","19.94301994","25.08960573","28.9648623","36.43966547"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00004","","","","39","39","1","1","9","37","30","25","52","15","15.5","0.8","5","4","5","11.03","4","16.3","53.3","67","0.298076923","0.053333333","0.243283582","2.233333333","1.717948718","1.733333333","1.333333333","0.543333333","0.417948718","1.233333333","0.948717949","77.6119403","30.58161351","76.92307692","14.71984805","19.13580247","15.47958215","20.12345679","35.1377018","45.67901235","50.61728395","65.80246914"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00005","","","","39","39","1","1","9","38.5","24","16","25","42","4","2","4","3","5","1.32","","6","44.5","67","0.16","0.047619048","0.089552239","2.791666667","1.717948718","1.041666667","0.641025641","0.25","0.153846154","1.604166667","0.987179487","37.31343284","13.48314607","61.53846154","3.798670465","6.172839506","5.698005698","9.259259259","36.56220323","59.41358025","42.26020893","68.67283951"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00006","","","","39","39","1","1","9","38","35","28","43","49","4","2","3","3","5","7.76","3","6","44","92","0.093023256","0.040816327","0.065217391","2.628571429","2.358974359","1.228571429","1.102564103","0.171428571","0.153846154","1.085714286","0.974358974","46.73913043","13.63636364","89.74358974","3.798670465","4.232804233","5.698005698","6.349206349","36.08736942","40.21164021","41.78537512","46.56084656"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00007","","","","39","39","1","1","9","28","32","29","90","68","13","4.5","4","3","5","3.96","4","17.5","45.5","158","0.144444444","0.066176471","0.110759494","4.9375","4.051282051","2.8125","2.307692308","0.546875","0.448717949","0.875","0.717948718","56.96202532","38.46153846","82.05128205","12.34567901","15.0462963","16.61918329","20.25462963","26.59069326","32.40740741","43.20987654","52.66203704"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00008","","","","39","38","1","1","8","26.5","23","12","20","12","3.2","0.8","3","3","5","12.39","","4","30.5","32","0.16","0.066666667","0.125","1.391304348","0.820512821","0.869565217","0.512820513","0.173913043","0.102564103","1.152173913","0.679487179","62.5","13.1147541","58.97435897","3.038936372","5.152979066","3.798670465","6.441223833","25.16619183","42.67310789","28.9648623","49.11433172"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00009","","","","39","39","1","1","9","23","30","19","54","27","6.8","1","4","4","5","7.23","","7.8","30.8","81","0.125925926","0.037037037","0.096296296","2.7","2.076923077","1.8","1.384615385","0.26","0.2","0.766666667","0.58974359","66.66666667","25.32467532","76.92307692","6.457739791","8.395061728","7.407407407","9.62962963","21.84235518","28.39506173","29.24976258","38.02469136"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00010","","","","39","39","1","1","9","28","25","16","40","18","5.5","1.2","4","4","4","14.37","5","6.7","34.7","58","0.1375","0.066666667","0.115517241","2.32","1.487179487","1.6","1.025641026","0.268","0.171794872","1.12","0.717948718","68.96551724","19.30835735","64.1025641","5.22317189","8.148148148","6.362773029","9.925925926","26.59069326","41.48148148","32.95346629","51.40740741"
