"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-01006","","","","30","55","23","30","27","8","4","2","2","3","2","1","8","8","1","2","9","1.4","7","10.4","17.4","0.163636364","0.060869565","78","2.888888889","2.037037037","0.385185185","0.259259259","70.51282051","59.77011494","0.133333333","10","11.55555556","7.777777778","19.33333333","2.6","1.833333333","0.346666667","0.233333333","90","11.11111111","12.83950617","8.641975309","21.48148148"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-01002","","","","30","30","8","26","26","8","9","2","1","2","3","3","4","7","1","2","4","0.4","6","4.4","10.4","0.133333333","0.05","38","1.461538462","1.153846154","0.169230769","0.230769231","78.94736842","42.30769231","0.115789474","4.444444444","4.888888889","6.666666667","11.55555556","1.266666667","1","0.146666667","0.2","86.66666667","5.128205128","5.641025641","7.692307692","13.33333333"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-01009","","","","30","46","15","28","28","1","3","1","1","5","1","3","8","8","1","2","8.5","0.39","5","8.89","13.89","0.184782609","0.026","61","2.178571429","1.642857143","0.3175","0.178571429","75.40983607","64.00287977","0.145737705","9.444444444","9.877777778","5.555555556","15.43333333","2.033333333","1.533333333","0.296333333","0.166666667","93.33333333","10.11904762","10.58333333","5.952380952","16.53571429"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-02005","","","","30","20","4","27","27","4","4","2","1","2","3","1","3","8","2","2","3","0.4","19","3.4","22.4","0.15","0.1","24","0.888888889","0.740740741","0.125925926","0.703703704","83.33333333","15.17857143","0.141666667","3.333333333","3.777777778","21.11111111","24.88888889","0.8","0.666666667","0.113333333","0.633333333","90","3.703703704","4.197530864","23.45679012","27.65432099"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-02004","","","","30","68","12","30","30","8","3","2","2","5","2","3","4","8","2","2","11.6","0.4","5","12","17","0.170588235","0.033333333","80","2.666666667","2.266666667","0.4","0.166666667","85","70.58823529","0.15","12.88888889","13.33333333","5.555555556","18.88888889","2.666666667","2.266666667","0.4","0.166666667","100","12.88888889","13.33333333","5.555555556","18.88888889"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-02013","","","","30","50","20","30","30","8","9","2","1","3","1","1","5","8","2","2","13","0.48","6","13.48","19.48","0.26","0.024","70","2.333333333","1.666666667","0.449333333","0.2","71.42857143","69.19917864","0.192571429","14.44444444","14.97777778","6.666666667","21.64444444","2.333333333","1.666666667","0.449333333","0.2","100","14.44444444","14.97777778","6.666666667","21.64444444"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-02008","","","","30","18","6","22","22","6","8","2","1","4","5","1","3","6","2","2","3.3","0.2","2","3.5","5.5","0.183333333","0.033333333","24","1.090909091","0.818181818","0.159090909","0.090909091","75","63.63636364","0.145833333","3.666666667","3.888888889","2.222222222","6.111111111","0.8","0.6","0.116666667","0.066666667","73.33333333","5","5.303030303","3.03030303","8.333333333"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-02011","","","","30","67","2","30","30","6","8","2","1","3","3","1","3","6","1","2","4","0.04","4","4.04","8.04","0.059701493","0.02","69","2.3","2.233333333","0.134666667","0.133333333","97.10144928","50.24875622","0.058550725","4.444444444","4.488888889","4.444444444","8.933333333","2.3","2.233333333","0.134666667","0.133333333","100","4.444444444","4.488888889","4.444444444","8.933333333"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-02010","","","","30","68","12","30","30","8","3","2","2","3","1","1","3","9","1","2","14","0.05","10","14.05","24.05","0.205882353","0.004166667","80","2.666666667","2.266666667","0.468333333","0.333333333","85","58.41995842","0.175625","15.55555556","15.61111111","11.11111111","26.72222222","2.666666667","2.266666667","0.468333333","0.333333333","100","15.55555556","15.61111111","11.11111111","26.72222222"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-02003","","","","30","20","6","29","29","8","6","2","1","2","2","1","4","7","2","2","4","0.36","7","4.36","11.36","0.2","0.06","26","0.896551724","0.689655172","0.150344828","0.24137931","76.92307692","38.38028169","0.167692308","4.444444444","4.844444444","7.777777778","12.62222222","0.866666667","0.666666667","0.145333333","0.233333333","96.66666667","4.597701149","5.011494253","8.045977011","13.05747126"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-02002","","","","30","48","12","30","30","1","8","1","1","3","2","1","3","8","2","2","10","0.6","16","10.6","26.6","0.208333333","0.05","60","2","1.6","0.353333333","0.533333333","80","39.84962406","0.176666667","11.11111111","11.77777778","17.77777778","29.55555556","2","1.6","0.353333333","0.533333333","100","11.11111111","11.77777778","17.77777778","29.55555556"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-02001","","","","30","12","3","29","28","8","5","2","2","2","3","1","2","6","3","3","2.3","0.2","6","2.5","8.5","0.191666667","0.066666667","15","0.535714286","0.428571429","0.089285714","0.214285714","80","29.41176471","0.166666667","2.555555556","2.777777778","6.666666667","9.444444444","0.5","0.4","0.083333333","0.2","93.33333333","2.738095238","2.976190476","7.142857143","10.11904762"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-02012","","","","30","40","6","30","30","8","8","2","1","5","1","3","2","7","1","2","11","0.24","3","11.24","14.24","0.275","0.04","46","1.533333333","1.333333333","0.374666667","0.1","86.95652174","78.93258427","0.244347826","12.22222222","12.48888889","3.333333333","15.82222222","1.533333333","1.333333333","0.374666667","0.1","100","12.22222222","12.48888889","3.333333333","15.82222222"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-02007","","","","30","55","23","30","27","8","4","2","2","3","2","1","8","8","1","2","9","1.4","7","10.4","17.4","0.163636364","0.060869565","78","2.888888889","2.037037037","0.385185185","0.259259259","70.51282051","59.77011494","0.133333333","10","11.55555556","7.777777778","19.33333333","2.6","1.833333333","0.346666667","0.233333333","90","11.11111111","12.83950617","8.641975309","21.48148148"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-02009","","","","30","30","8","26","26","8","9","2","1","2","3","3","4","7","1","2","4","0.4","6","4.4","10.4","0.133333333","0.05","38","1.461538462","1.153846154","0.169230769","0.230769231","78.94736842","42.30769231","0.115789474","4.444444444","4.888888889","6.666666667","11.55555556","1.266666667","1","0.146666667","0.2","86.66666667","5.128205128","5.641025641","7.692307692","13.33333333"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-02006","","","","30","46","15","28","28","1","3","1","1","5","1","3","8","8","1","2","8.5","0.39","5","8.89","13.89","0.184782609","0.026","61","2.178571429","1.642857143","0.3175","0.178571429","75.40983607","64.00287977","0.145737705","9.444444444","9.877777778","5.555555556","15.43333333","2.033333333","1.533333333","0.296333333","0.166666667","93.33333333","10.11904762","10.58333333","5.952380952","16.53571429"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-03005","","","","30","20","4","27","27","4","4","2","1","2","3","1","3","8","2","2","3","0.4","19","3.4","22.4","0.15","0.1","24","0.888888889","0.740740741","0.125925926","0.703703704","83.33333333","15.17857143","0.141666667","3.333333333","3.777777778","21.11111111","24.88888889","0.8","0.666666667","0.113333333","0.633333333","90","3.703703704","4.197530864","23.45679012","27.65432099"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-03008","","","","30","68","12","30","30","8","3","2","2","5","2","3","4","8","2","2","11.6","0.4","5","12","17","0.170588235","0.033333333","80","2.666666667","2.266666667","0.4","0.166666667","85","70.58823529","0.15","12.88888889","13.33333333","5.555555556","18.88888889","2.666666667","2.266666667","0.4","0.166666667","100","12.88888889","13.33333333","5.555555556","18.88888889"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-03007","","","","30","50","20","30","30","8","9","2","1","3","1","1","5","8","2","2","13","0.48","6","13.48","19.48","0.26","0.024","70","2.333333333","1.666666667","0.449333333","0.2","71.42857143","69.19917864","0.192571429","14.44444444","14.97777778","6.666666667","21.64444444","2.333333333","1.666666667","0.449333333","0.2","100","14.44444444","14.97777778","6.666666667","21.64444444"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-03004","","","","30","18","6","22","22","6","8","2","1","4","5","1","3","6","2","2","3.3","0.2","2","3.5","5.5","0.183333333","0.033333333","24","1.090909091","0.818181818","0.159090909","0.090909091","75","63.63636364","0.145833333","3.666666667","3.888888889","2.222222222","6.111111111","0.8","0.6","0.116666667","0.066666667","73.33333333","5","5.303030303","3.03030303","8.333333333"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-03010","","","","30","67","2","30","30","6","8","2","1","3","3","1","3","6","1","2","4","0.04","4","4.04","8.04","0.059701493","0.02","69","2.3","2.233333333","0.134666667","0.133333333","97.10144928","50.24875622","0.058550725","4.444444444","4.488888889","4.444444444","8.933333333","2.3","2.233333333","0.134666667","0.133333333","100","4.444444444","4.488888889","4.444444444","8.933333333"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-03001","","","","30","68","12","30","30","8","3","2","2","3","1","1","3","9","1","2","14","0.05","10","14.05","24.05","0.205882353","0.004166667","80","2.666666667","2.266666667","0.468333333","0.333333333","85","58.41995842","0.175625","15.55555556","15.61111111","11.11111111","26.72222222","2.666666667","2.266666667","0.468333333","0.333333333","100","15.55555556","15.61111111","11.11111111","26.72222222"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-03012","","","","30","20","6","29","29","8","6","2","1","2","2","1","4","7","2","2","4","0.36","7","4.36","11.36","0.2","0.06","26","0.896551724","0.689655172","0.150344828","0.24137931","76.92307692","38.38028169","0.167692308","4.444444444","4.844444444","7.777777778","12.62222222","0.866666667","0.666666667","0.145333333","0.233333333","96.66666667","4.597701149","5.011494253","8.045977011","13.05747126"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-03013","","","","30","48","12","30","30","1","8","1","1","3","2","1","3","8","2","2","10","0.6","16","10.6","26.6","0.208333333","0.05","60","2","1.6","0.353333333","0.533333333","80","39.84962406","0.176666667","11.11111111","11.77777778","17.77777778","29.55555556","2","1.6","0.353333333","0.533333333","100","11.11111111","11.77777778","17.77777778","29.55555556"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-03002","","","","30","12","3","29","28","8","5","2","2","2","3","1","2","6","3","3","2.3","0.2","6","2.5","8.5","0.191666667","0.066666667","15","0.535714286","0.428571429","0.089285714","0.214285714","80","29.41176471","0.166666667","2.555555556","2.777777778","6.666666667","9.444444444","0.5","0.4","0.083333333","0.2","93.33333333","2.738095238","2.976190476","7.142857143","10.11904762"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-03003","","","","30","40","6","30","30","8","8","2","1","5","1","3","2","7","1","2","11","0.24","3","11.24","14.24","0.275","0.04","46","1.533333333","1.333333333","0.374666667","0.1","86.95652174","78.93258427","0.244347826","12.22222222","12.48888889","3.333333333","15.82222222","1.533333333","1.333333333","0.374666667","0.1","100","12.22222222","12.48888889","3.333333333","15.82222222"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-03006","","","","30","55","23","30","27","8","4","2","2","3","2","1","8","8","1","2","9","1.4","7","10.4","17.4","0.163636364","0.060869565","78","2.888888889","2.037037037","0.385185185","0.259259259","70.51282051","59.77011494","0.133333333","10","11.55555556","7.777777778","19.33333333","2.6","1.833333333","0.346666667","0.233333333","90","11.11111111","12.83950617","8.641975309","21.48148148"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-03009","","","","30","30","8","26","26","8","9","2","1","2","3","3","4","7","1","2","4","0.4","6","4.4","10.4","0.133333333","0.05","38","1.461538462","1.153846154","0.169230769","0.230769231","78.94736842","42.30769231","0.115789474","4.444444444","4.888888889","6.666666667","11.55555556","1.266666667","1","0.146666667","0.2","86.66666667","5.128205128","5.641025641","7.692307692","13.33333333"
"","","UGP2018SER-AT01","","","","","","","","","UGP2018SER-AT01-03011","","","","30","46","15","28","28","1","3","1","1","5","1","3","8","8","1","2","8.5","0.39","5","8.89","13.89","0.184782609","0.026","61","2.178571429","1.642857143","0.3175","0.178571429","75.40983607","64.00287977","0.145737705","9.444444444","9.877777778","5.555555556","15.43333333","2.033333333","1.533333333","0.296333333","0.166666667","93.33333333","10.11904762","10.58333333","5.952380952","16.53571429"
